GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ICAO,ISO_CODE
USW00012990,29.1919,-90.0753,2.1,LA,GRAND ISLE SEAPLANE BASE,,,,KGNI,US
USW00012991,28.5167,-90.9667,32.3,LA,SHIP SHOAL BLOCK 207A,,,,,US
USW00012993,29.4447,-90.2611,0.3,LA,GALLIANO S LAFOURCHE AP,,,,KGAO,US
USW00013934,31.3167,-92.55,27.1,LA,ENGLAND AFB,,,74754,,US
USW00013935,31.3964,-92.2828,26.8,LA,ALEXANDRIA ESLER FLD,,,,KESF,US
USW00013941,30.2103,-93.1433,5.2,LA,LAKE CHARLES CHENNAULT INTL AP,,,,KCWF,US
USW00013942,32.5156,-92.03,22.3,LA,MONROE RGNL AP,,,,KMLU,US
USW00013944,32.5,-93.6667,50.6,LA,SHREVEPORT BARKSDALE AFB,,,,KBAD,US
USW00013957,32.4508,-93.8414,118.0,LA,SHREVEPORT,,,72248,KSHV,US
USW00013970,30.5378,-91.1469,20.4,LA,BATON ROUGE METRO AP,,,72232,KBTR,US
USW00013976,30.1986,-91.9894,10.7,LA,LAFAYETTE RGNL AP,,,,KLFT,US
USW00053865,30.3436,-89.8225,7.6,LA,SLIDELL AP,,,72233,KASD,US
USW00053905,32.5397,-93.7461,52.1,LA,SHREVEPORT DWTN AP,,,,KDTN,US
USW00053915,30.0292,-91.8844,4.9,LA,NEW IBERIA AP - ACADIANA RGNL,,,,KARA,US
USW00053917,30.0494,-90.0289,0.9,LA,NEW ORLEANS LAKEFRONT AP,,,,KNEW,US
USW00053943,31.7358,-93.0992,36.9,LA,NATCHITOCHES RGNL AP,,,,KIER,US
USW00053958,32.5144,-92.5883,94.8,LA,RUSTON RGNL AP,,,,KRSN,US
USW00053960,30.0917,-91.8731,10.7,LA,LAFAYETTE 13 SE,,,,,US
USW00053961,32.8833,-92.1164,26.8,LA,MONROE 26 N,,,,,US
USW00053980,30.2125,-93.1514,2.4,LA,LAKE CHARLES CHENAULT AIR BASE,,,,,US
USW00053988,31.0217,-92.9108,94.5,LA,FT POLK FULLERTON LNDG STRIP,,,,KBKB,US
USW00053991,30.7503,-92.6883,32.6,LA,OAKDALE ALLEN PARISH AP,,,,KACP,US
USW00053992,32.7561,-91.8806,50.9,LA,BASTROP MOREHOUSE MEM AP,,,,KBQP,US
USW00053995,30.1314,-93.3761,3.4,LA,SULPHUR SOUTHLAND FLD AP,,,,KL75,US
USW00063903,31.1136,-92.9656,114.0,LA,FT POLK - SELF STRIP,,,,KDNK,US
USW00093906,29.8272,-90.0267,4.0,LA,NEW ORLEANS NAS,,,,,US
USW00093915,31.3347,-92.5586,25.0,LA,ALEXANDRIA INTL AP,,,74754,KAEX,US
USW00093936,32.5397,-93.7492,60.0,LA,SHREVEPORT,,,,,US
VQL000LAMV3,18.318,-64.724,1.0,LA,LAMESHUR BAY ST JOHN,,,,,VI
